name,game_genre,app_store_price,avg_rating,avg_review_count,app_sale_cost,longevity_in_yrs,maintenance_cost,app_revenue,profit
PewDiePie's Tuber Simulator,Games,0,5,795158,"$25,000.00 ",11,"$132,000.00 ","$660,000.00 ","$528,000.00 "
Fernanfloo,Games,0,4.75,264740,"$25,000.00 ",10.5,"$126,000.00 ","$630,000.00 ","$504,000.00 "
Geometry Dash Lite,Games,0,4.75,3276005,"$25,000.00 ",10.5,"$126,000.00 ","$630,000.00 ","$504,000.00 "
"Egg, Inc.",Games,0,4.75,329617,"$25,000.00 ",10.5,"$126,000.00 ","$630,000.00 ","$504,000.00 "
Domino's Pizza USA,Food & Drink,0,4.75,645779,"$25,000.00 ",10.5,"$126,000.00 ","$630,000.00 ","$504,000.00 "
Toy Blast,Games,0,4.5,982702,"$25,000.00 ",10,"$120,000.00 ","$600,000.00 ","$480,000.00 "
YouTube Kids,Entertainment,0,4.5,249205,"$25,000.00 ",10,"$120,000.00 ","$600,000.00 ","$480,000.00 "
Wish - Shopping Made Fun,Shopping,0,4.5,3176499,"$25,000.00 ",10,"$120,000.00 ","$600,000.00 ","$480,000.00 "
Disney Crossy Road,Games,0,4.5,276329,"$25,000.00 ",10,"$120,000.00 ","$600,000.00 ","$480,000.00 "
Fruit Ninja®,Games,0,4.5,2709236,"$25,000.00 ",10,"$120,000.00 ","$600,000.00 ","$480,000.00 "
Hill Climb Racing,Games,0,4.5,4516000,"$25,000.00 ",10,"$120,000.00 ","$600,000.00 ","$480,000.00 "
Call of Duty®: Heroes,Games,0,4.5,891781,"$25,000.00 ",10,"$120,000.00 ","$600,000.00 ","$480,000.00 "
Microsoft Word,Productivity,0,4.5,1066062,"$25,000.00 ",10,"$120,000.00 ","$600,000.00 ","$480,000.00 "
Subway Surfers,Games,0,4.5,14214651,"$25,000.00 ",10,"$120,000.00 ","$600,000.00 ","$480,000.00 "
ROBLOX,Games,0,4.5,2317255,"$25,000.00 ",10,"$120,000.00 ","$600,000.00 ","$480,000.00 "
Microsoft OneNote,Productivity,0,4.5,260140,"$25,000.00 ",10,"$120,000.00 ","$600,000.00 ","$480,000.00 "
MARVEL Contest of Champions,Games,0,4.5,1351257,"$25,000.00 ",10,"$120,000.00 ","$600,000.00 ","$480,000.00 "
Score! Hero,Games,0,4.5,2752035,"$25,000.00 ",10,"$120,000.00 ","$600,000.00 ","$480,000.00 "
Hill Climb Racing 2,Games,0,4.5,1392249,"$25,000.00 ",10,"$120,000.00 ","$600,000.00 ","$480,000.00 "
Swamp Attack,Games,0,4.5,1068101,"$25,000.00 ",10,"$120,000.00 ","$600,000.00 ","$480,000.00 "
Yahoo Weather,Weather,0,4.5,712320,"$25,000.00 ",10,"$120,000.00 ","$600,000.00 ","$480,000.00 "
Zombie Catchers,Games,0,4.5,503734,"$25,000.00 ",10,"$120,000.00 ","$600,000.00 ","$480,000.00 "
PicsArt Photo Studio: Collage Maker & Pic Editor,Photo & Video,0,4.5,3811818,"$25,000.00 ",10,"$120,000.00 ","$600,000.00 ","$480,000.00 "
My Talking Tom,Games,0,4.5,7504547,"$25,000.00 ",10,"$120,000.00 ","$600,000.00 ","$480,000.00 "
Pou,Games,0,4.5,5243462,"$25,000.00 ",10,"$120,000.00 ","$600,000.00 ","$480,000.00 "
Temple Run 2,Games,0,4.5,4206910,"$25,000.00 ",10,"$120,000.00 ","$600,000.00 ","$480,000.00 "
Angry Birds Rio,Games,0,4.5,1390585,"$25,000.00 ",10,"$120,000.00 ","$600,000.00 ","$480,000.00 "
MARVEL Future Fight,Games,0,4.5,1187474,"$25,000.00 ",10,"$120,000.00 ","$600,000.00 ","$480,000.00 "
Candy Crush Saga,Games,0,4.5,11695755,"$25,000.00 ",10,"$120,000.00 ","$600,000.00 ","$480,000.00 "
Microsoft Word,Productivity,0,4.5,1063371,"$25,000.00 ",10,"$120,000.00 ","$600,000.00 ","$480,000.00 "
Microsoft OneNote,Productivity,0,4.5,260138,"$25,000.00 ",10,"$120,000.00 ","$600,000.00 ","$480,000.00 "
